 frequency       vdb(2)          vp(2)          
 3.09029543e+04 -1.59325649e+01 -1.41038468e+00 
 3.16227766e+04 -1.61275754e+01 -1.41397585e+00 
 3.23593657e+04 -1.63228050e+01 -1.41748922e+00 
 3.31131121e+04 -1.65182445e+01 -1.42092630e+00 
 3.38844156e+04 -1.67138847e+01 -1.42428860e+00 
 3.46736850e+04 -1.69097171e+01 -1.42757759e+00 
 3.54813389e+04 -1.71057333e+01 -1.43079473e+00 
 3.63078055e+04 -1.73019254e+01 -1.43394146e+00 
 3.71535229e+04 -1.74982858e+01 -1.43701920e+00 
 3.80189396e+04 -1.76948071e+01 -1.44002935e+00 
 3.89045145e+04 -1.78914824e+01 -1.44297328e+00 
 3.98107171e+04 -1.80883050e+01 -1.44585236e+00 
 4.07380278e+04 -1.82852684e+01 -1.44866791e+00 
 4.16869383e+04 -1.84823664e+01 -1.45142125e+00 
 4.26579519e+04 -1.86795933e+01 -1.45411368e+00 
 4.36515832e+04 -1.88769433e+01 -1.45674647e+00 
 4.46683592e+04 -1.90744111e+01 -1.45932086e+00 
 4.57088190e+04 -1.92719915e+01 -1.46183809e+00 
 4.67735141e+04 -1.94696795e+01 -1.46429935e+00 
 4.78630092e+04 -1.96674704e+01 -1.46670585e+00 
 4.89778819e+04 -1.98653597e+01 -1.46905873e+00 
 5.01187234e+04 -2.00633431e+01 -1.47135915e+00 
 5.12861384e+04 -2.02614163e+01 -1.47360823e+00 
 5.24807460e+04 -2.04595754e+01 -1.47580706e+00 
 5.37031796e+04 -2.06578167e+01 -1.47795674e+00 
 5.49540874e+04 -2.08561365e+01 -1.48005831e+00 
 5.62341325e+04 -2.10545312e+01 -1.48211282e+00 
 5.75439937e+04 -2.12529977e+01 -1.48412129e+00 
 5.88843655e+04 -2.14515327e+01 -1.48608472e+00 
 6.02559586e+04 -2.16501332e+01 -1.48800409e+00 
 6.16595002e+04 -2.18487962e+01 -1.48988036e+00 
 6.30957344e+04 -2.20475190e+01 -1.49171448e+00 
 6.45654229e+04 -2.22462990e+01 -1.49350736e+00 
 6.60693448e+04 -2.24451335e+01 -1.49525991e+00 
 6.76082975e+04 -2.26440202e+01 -1.49697301e+00 
 6.91830971e+04 -2.28429567e+01 -1.49864754e+00 
 7.07945784e+04 -2.30419409e+01 -1.50028435e+00 
 7.24435960e+04 -2.32409706e+01 -1.50188426e+00 
 7.41310241e+04 -2.34400437e+01 -1.50344810e+00 
 7.58577575e+04 -2.36391584e+01 -1.50497666e+00 
 7.76247117e+04 -2.38383127e+01 -1.50647072e+00 
 7.94328235e+04 -2.40375050e+01 -1.50793105e+00 
 8.12830516e+04 -2.42367334e+01 -1.50935840e+00 
 8.31763771e+04 -2.44359965e+01 -1.51075350e+00 
 8.51138038e+04 -2.46352926e+01 -1.51211707e+00 
 8.70963590e+04 -2.48346203e+01 -1.51344981e+00 
 8.91250938e+04 -2.50339781e+01 -1.51475241e+00 
 9.12010839e+04 -2.52333648e+01 -1.51602555e+00 
 9.33254301e+04 -2.54327790e+01 -1.51726988e+00 
 9.54992586e+04 -2.56322195e+01 -1.51848604e+00 
 9.77237221e+04 -2.58316850e+01 -1.51967467e+00 
 1.00000000e+05 -2.60311746e+01 -1.52083638e+00 
