 frequency       vdb(2)          vp(2)          
 1.04712855e+01 -1.90465523e-05 -2.09418899e-03 
 1.07151931e+01 -1.99441866e-05 -2.14296877e-03 
 1.09647820e+01 -2.08841249e-05 -2.19288477e-03 
 1.12201845e+01 -2.18683609e-05 -2.24396345e-03 
 1.14815362e+01 -2.28989822e-05 -2.29623189e-03 
 1.17489755e+01 -2.39781750e-05 -2.34971780e-03 
 1.20226443e+01 -2.51082284e-05 -2.40444955e-03 
 1.23026877e+01 -2.62915391e-05 -2.46045616e-03 
 1.25892541e+01 -2.75306173e-05 -2.51776730e-03 
 1.28824955e+01 -2.88280910e-05 -2.57641338e-03 
 1.31825674e+01 -3.01867123e-05 -2.63642548e-03 
 1.34896288e+01 -3.16093631e-05 -2.69783543e-03 
 1.38038426e+01 -3.30990608e-05 -2.76067577e-03 
 1.41253754e+01 -3.46589652e-05 -2.82497983e-03 
 1.44543977e+01 -3.62923851e-05 -2.89078170e-03 
 1.47910839e+01 -3.80027850e-05 -2.95811627e-03 
 1.51356125e+01 -3.97937929e-05 -3.02701923e-03 
 1.54881662e+01 -4.16692076e-05 -3.09752712e-03 
 1.58489319e+01 -4.36330070e-05 -3.16967732e-03 
 1.62181010e+01 -4.56893564e-05 -3.24350808e-03 
 1.65958691e+01 -4.78426176e-05 -3.31905854e-03 
 1.69824365e+01 -5.00973577e-05 -3.39636876e-03 
 1.73780083e+01 -5.24583592e-05 -3.47547972e-03 
 1.77827941e+01 -5.49306298e-05 -3.55643336e-03 
 1.81970086e+01 -5.75194135e-05 -3.63927262e-03 
 1.86208714e+01 -6.02302012e-05 -3.72404139e-03 
 1.90546072e+01 -6.30687425e-05 -3.81078463e-03 
 1.94984460e+01 -6.60410582e-05 -3.89954832e-03 
 1.99526231e+01 -6.91534526e-05 -3.99037951e-03 
 2.04173794e+01 -7.24125272e-05 -4.08332637e-03 
 2.08929613e+01 -7.58251947e-05 -4.17843816e-03 
 2.13796209e+01 -7.93986933e-05 -4.27576532e-03 
